"","county","GEOID","yearG","CAUSE","Ndeaths","YLL","m.YLL","Level","popTot","YLLper","cDeathRate"
"171","Alameda","06001405700","2001-2005",69,1,8.76,8.76,"gbd3",3352,52.2673031026253,5.96658711217184
"172","Alameda","06001405800","2006-2010",69,16,365.68,22.855,"gbd3",4181,1749.24659172447,76.5367137048553
"173","Alameda","06001405800","2001-2005",69,3,89.61,29.87,"gbd3",4181,428.653432193255,14.3506338196604
"174","Alameda","06001405800","2011-2015",69,10,227.88,22.788,"gbd3",4181,1090.0741449414,47.8354460655346
"175","Alameda","06001405901","2011-2015",69,11,227.57,20.6881818181818,"gbd3",4052,1123.24777887463,54.2941757156959
"176","Alameda","06001405901","2006-2010",69,13,394.52,30.3476923076923,"gbd3",4052,1947.28529121422,64.1658440276407
"177","Alameda","06001405902","2011-2015",69,14,209.41,14.9578571428571,"gbd3",3471,1206.62633246903,80.6683952751368
"178","Alameda","06001405902","2006-2010",69,6,149.58,24.93,"gbd3",3471,861.884183232498,34.5721694036301
"179","Alameda","06001405902","2001-2005",69,1,34.58,34.58,"gbd3",3471,199.250936329588,5.76202823393835
"180","Alameda","06001406000","2011-2015",69,11,232.24,21.1127272727273,"gbd3",3472,1337.78801843318,63.3640552995392
"181","Alameda","06001406000","2006-2010",69,13,289.84,22.2953846153846,"gbd3",3472,1669.58525345622,74.8847926267281
"182","Alameda","06001406000","2001-2005",69,2,24.6,12.3,"gbd3",3472,141.705069124424,11.5207373271889
"183","Alameda","06001406100","2006-2010",69,6,168.17,28.0283333333333,"gbd3",4905,685.708460754332,24.4648318042813
"184","Alameda","06001406100","2011-2015",69,10,237.49,23.749,"gbd3",4905,968.358817533129,40.7747196738022
"185","Alameda","06001406201","2006-2010",69,9,201.08,22.3422222222222,"gbd3",4252,945.813734713076,42.3330197554092
"186","Alameda","06001406201","2011-2015",69,10,167.47,16.747,"gbd3",4252,787.723424270931,47.0366886171214
"187","Alameda","06001406201","2001-2005",69,3,45.92,15.3066666666667,"gbd3",4252,215.992474129821,14.1110065851364
"188","Alameda","06001406202","2011-2015",69,15,326.29,21.7526666666667,"gbd3",4666,1398.58551221603,64.2948992713245
"189","Alameda","06001406202","2006-2010",69,20,430.15,21.5075,"gbd3",4666,1843.76339477068,85.726532361766
"190","Alameda","06001406202","2001-2005",69,2,21.42,10.71,"gbd3",4666,91.8131161594514,8.5726532361766
"191","Alameda","06001406300","2011-2015",69,16,515.97,32.248125,"gbd3",3994,2583.72558838257,80.1201802704056
"192","Alameda","06001406300","2006-2010",69,11,317.37,28.8518181818182,"gbd3",3994,1589.23385077616,55.0826239359039
"193","Alameda","06001406400","2011-2015",69,32,619.54,19.360625,"gbd3",2305,5375.61822125813,277.65726681128
"194","Alameda","06001406400","2001-2005",69,6,85.88,14.3133333333333,"gbd3",2305,745.162689804772,52.060737527115
"195","Alameda","06001406400","2006-2010",69,36,591.62,16.4338888888889,"gbd3",2305,5133.36225596529,312.36442516269
"196","Alameda","06001406500","2006-2010",69,24,739.91,30.8295833333333,"gbd3",6352,2329.69143576826,75.5667506297229
"197","Alameda","06001406500","2011-2015",69,18,334.78,19.6929411764706,"gbd3",6352,1054.09319899244,56.6750629722922
"198","Alameda","06001406500","2001-2005",69,2,38.2,19.1,"gbd3",6352,120.277078085642,6.29722921914358
"199","Alameda","06001406601","2001-2005",69,1,11.39,11.39,"gbd3",4995,45.6056056056056,4.004004004004
"200","Alameda","06001406601","2011-2015",69,10,164.37,16.437,"gbd3",4995,658.138138138138,40.04004004004
"201","Alameda","06001406601","2006-2010",69,18,520.37,28.9094444444444,"gbd3",4995,2083.56356356356,72.0720720720721
"202","Alameda","06001406602","2011-2015",69,5,77.05,15.41,"gbd3",2891,533.033552404012,34.5901072293324
"203","Alameda","06001406602","2001-2005",69,3,150.81,50.27,"gbd3",2891,1043.30681425112,20.7540643375994
"204","Alameda","06001406602","2006-2010",69,8,216.94,27.1175,"gbd3",2891,1500.79557246627,55.3441715669319
"205","Alameda","06001406700","2011-2015",69,14,266.89,19.0635714285714,"gbd3",5028,1061.61495624503,55.6881463802705
"206","Alameda","06001406700","2006-2010",69,11,267.13,24.2845454545455,"gbd3",5028,1062.56961018298,43.7549721559268
"207","Alameda","06001406700","2001-2005",69,3,59.69,19.8966666666667,"gbd3",5028,237.430389817025,11.9331742243437
"208","Alameda","06001406800","2011-2015",69,13,259.12,19.9323076923077,"gbd3",3484,1487.48564867968,74.6268656716418
"209","Alameda","06001406800","2001-2005",69,4,42.4,10.6,"gbd3",3484,243.398392652124,22.9621125143513
"210","Alameda","06001406800","2006-2010",69,12,254.98,21.2483333333333,"gbd3",3484,1463.71986222732,68.886337543054
"211","Alameda","06001406900","2006-2010",69,6,108.62,18.1033333333333,"gbd3",3856,563.381742738589,31.1203319502075
"212","Alameda","06001406900","2011-2015",69,8,148.94,18.6175,"gbd3",3856,772.510373443983,41.49377593361
"213","Alameda","06001406900","2001-2005",69,4,109.04,27.26,"gbd3",3856,565.560165975104,20.746887966805
"214","Alameda","06001407000","2001-2005",69,6,196.54,32.7566666666667,"gbd3",5847,672.276381050111,20.5233453052848
"215","Alameda","06001407000","2006-2010",69,30,741.56,24.7186666666667,"gbd3",5847,2536.54865743116,102.616726526424
"216","Alameda","06001407000","2011-2015",69,24,443.38,18.4741666666667,"gbd3",5847,1516.60680690953,82.093381221139
"217","Alameda","06001407101","2006-2010",69,8,175.27,21.90875,"gbd3",3755,933.52862849534,42.6098535286285
"218","Alameda","06001407101","2011-2015",69,14,336.03,24.0021428571429,"gbd3",3755,1789.77363515313,74.5672436750999
"219","Alameda","06001407101","2001-2005",69,3,74.63,24.8766666666667,"gbd3",3755,397.496671105193,15.9786950732357
"220","Alameda","06001407102","2001-2005",69,2,71.07,35.535,"gbd3",4065,349.667896678967,9.84009840098401
"221","Alameda","06001407102","2006-2010",69,10,218.58,21.858,"gbd3",4065,1075.42435424354,49.2004920049201
"222","Alameda","06001407102","2011-2015",69,19,423.03,22.2647368421053,"gbd3",4065,2081.32841328413,93.4809348093481
"223","Alameda","06001407200","2006-2010",69,21,310.58,14.7895238095238,"gbd3",6565,946.169078446306,63.975628332064
"224","Alameda","06001407200","2011-2015",69,28,542.74,19.3835714285714,"gbd3",6565,1653.43488194973,85.3008377760853
"225","Alameda","06001407200","2001-2005",69,4,58.25,14.5625,"gbd3",6565,177.456207159177,12.1858339680122
"226","Alameda","06001407300","2006-2010",69,10,344.51,34.451,"gbd3",2513,2741.82252288102,79.5861520095503
"227","Alameda","06001407300","2011-2015",69,4,100.61,25.1525,"gbd3",2513,800.716275368086,31.8344608038201
"228","Alameda","06001407400","2006-2010",69,8,204.16,29.1657142857143,"gbd3",4517,903.962807172902,35.4217400929821
"229","Alameda","06001407400","2011-2015",69,17,420.15,24.7147058823529,"gbd3",4517,1860.3055125083,75.2711976975869
"230","Alameda","06001407400","2001-2005",69,5,78.39,15.678,"gbd3",4517,347.088775736108,22.1385875581138
"231","Alameda","06001407500","2006-2010",69,16,399.15,24.946875,"gbd3",3887,2053.76897350142,82.325701054798
"232","Alameda","06001407500","2011-2015",69,29,653.45,22.5327586206897,"gbd3",3887,3362.23308464111,149.215333161821
"233","Alameda","06001407500","2001-2005",69,7,136.41,19.4871428571429,"gbd3",3887,701.878055055313,36.0174942114741
"234","Alameda","06001407600","2001-2005",69,2,87.95,43.975,"gbd3",6104,288.171690694626,6.55307994757536
"235","Alameda","06001407600","2011-2015",69,26,531.75,20.4519230769231,"gbd3",6104,1742.3001310616,85.1900393184797
"236","Alameda","06001407600","2006-2010",69,19,420.91,22.1531578947368,"gbd3",6104,1379.12844036697,62.2542595019659
"237","Alameda","06001407700","2006-2010",69,12,277.12,23.0933333333333,"gbd3",4126,1343.28647600582,58.167716917111
"238","Alameda","06001407700","2011-2015",69,25,561.58,22.4632,"gbd3",4126,2722.15220552593,121.182743577315
"239","Alameda","06001407700","2001-2005",69,5,84.83,16.966,"gbd3",4126,411.197285506544,24.2365487154629
"240","Alameda","06001407800","2006-2010",69,5,172.21,34.442,"gbd3",2763,1246.54361201592,36.1925443358668
