"","county","year","sex","CAUSE","Level","Ndeaths","YLL","m.YLL","mean.age","pop","YLLper","YLLrateLCI","YLLrateUCI","cDeathRate","rateLCI","rateUCI","SMR","aRate","aLCI","aUCI","YLL.adj.rate"
"39","Alameda",2000,"Total",210,"gbd36",8,459.3,57.42,34.75,1449000,31.7,28.8,34.6,0.5522,0.1695,0.9348,1.401,0.4797,0.2062,1.002,27.16
"40","Alameda",2001,"Total",0,"gbd36",19450,440100,22.62,72.04,1466000,30030,29940,30120,1327,1309,1346,0.984,1562,1540,1584,33300
"41","Alameda",2001,"Total",3,"gbd36",14,451.4,32.24,61.57,1466000,30.8,27.96,33.64,0.9553,0.4549,1.456,1.278,1.048,0.5689,1.788,30.75
"42","Alameda",2001,"Total",10,"gbd36",138,6498,47.09,45.26,1466000,443.4,432.6,454.2,9.416,7.845,10.99,1.087,9.098,7.634,10.79,417.9
"43","Alameda",2001,"Total",13,"gbd36",20,185.4,9.27,88,1466000,12.65,10.83,14.47,1.365,0.7666,1.963,1.246,1.669,1.019,2.586,15.46
"44","Alameda",2001,"Total",19,"gbd36",6,375.8,62.63,29.67,1466000,25.64,23.05,28.23,0.4094,0.08182,0.737,0.5887,0.4316,0.1583,0.9733,26.78
"45","Alameda",2001,"Total",20,"gbd36",2,90.6,45.3,47,1466000,6.182,4.909,7.455,0.1365,-0.05266,0.3256,0,0.1314,0.01591,0.535,5.95
"46","Alameda",2001,"Total",21,"gbd36",54,2078,38.48,54.15,1466000,141.8,135.7,147.9,3.685,2.702,4.667,0.8868,3.819,2.862,5.017,141.9
"47","Alameda",2001,"Total",46,"gbd36",208,5121,24.62,69.41,1466000,349.4,339.8,359,14.19,12.26,16.12,1.373,16.6,14.41,19.04,387.3
"48","Alameda",2001,"Total",48,"gbd36",662,9888,14.94,80.89,1466000,674.7,661.4,688,45.17,41.73,48.61,0.9509,54.73,50.63,59.07,791.4
"49","Alameda",2001,"Total",51,"gbd36",10,575.6,57.56,34.6,1466000,39.27,36.06,42.48,0.6823,0.2594,1.105,2.18,0.5926,0.2833,1.146,33.87
"50","Alameda",2001,"Total",58,"gbd36",146,13420,91.94,0,1466000,915.9,900.4,931.4,9.962,8.346,11.58,1.254,10.1,8.531,11.91,928.9
"51","Alameda",2001,"Total",63,"gbd36",32,555.6,17.36,78.88,1466000,37.91,34.76,41.06,2.183,1.427,2.94,1.577,2.586,1.766,3.667,41.91
"52","Alameda",2001,"Total",70,"gbd36",4644,111400,23.98,69.87,1466000,7600,7555,7645,316.9,307.8,326,1.016,373.7,362.9,384.6,8599
"53","Alameda",2001,"Total",103,"gbd36",90,1616,17.96,76.78,1466000,110.3,104.9,115.7,6.141,4.872,7.41,0.8943,7.431,5.973,9.144,130.3
"54","Alameda",2001,"Total",104,"gbd36",562,12770,22.72,71.37,1466000,871.2,856.1,886.3,38.35,35.18,41.52,1.055,45.41,41.72,49.35,989.1
"55","Alameda",2001,"Total",105,"gbd36",232,6233,26.87,67.42,1466000,425.3,414.7,435.9,15.83,13.79,17.87,1.302,18.48,16.17,21.04,468.1
"56","Alameda",2001,"Total",110,"gbd36",220,9287,42.21,50.62,1466000,633.7,620.8,646.5,15.01,13.03,16.99,0.9834,15.11,13.16,17.28,615.5
"57","Alameda",2001,"Total",132,"gbd36",740,7620,10.3,86.66,1466000,519.9,508.2,531.6,50.49,46.85,54.13,1.172,61.74,57.37,66.36,631.9
"58","Alameda",2001,"Total",133,"gbd36",104,1402,13.48,81.73,1466000,95.66,90.66,100.7,7.096,5.732,8.46,0.8115,8.75,7.149,10.61,118.6
"59","Alameda",2001,"Total",135,"gbd36",26,957.5,36.83,55.77,1466000,65.33,61.19,69.47,1.774,1.092,2.456,1.164,1.877,1.223,2.779,67.63
"60","Alameda",2001,"Total",138,"gbd36",120,4146,34.55,58.9,1466000,282.9,274.3,291.5,8.188,6.723,9.653,0.9489,9.162,7.587,10.98,299.6
"61","Alameda",2001,"Total",147,"gbd36",7608,130000,17.09,78.27,1466000,8871,8823,8919,519.1,507.5,530.8,0.9562,624,610,638.2,10270
"62","Alameda",2001,"Total",155,"gbd36",792,14020,17.71,77.01,1466000,956.9,941.1,972.8,54.04,50.28,57.8,0.7518,65.69,61.18,70.44,1143
"63","Alameda",2001,"Total",156,"gbd36",64,1333,20.83,73.72,1466000,90.97,86.08,95.85,4.367,3.297,5.437,1.388,5.152,3.965,6.594,103.8
"64","Alameda",2001,"Total",157,"gbd36",376,6336,16.85,78.53,1466000,432.3,421.7,443,25.66,23.06,28.25,1.453,30.87,27.82,34.17,501.9
