"","comID","yearG","sex","CAUSE","county","Ndeaths","YLL","m.YLL","mean.age","Level","pop","YLLper","YLLrateLCI","YLLrateUCI","cDeathRate","rateLCI","rateUCI","comName","oDeaths","aRate","aLCI","aUCI","YLL.adj.rate"
"31","116c","2011-2015","Total","0","Orange",4020,86740,21.58,73.2,"lev0",123200,14080,13990,14170,652.5,632.3,672.7,"Anaheim West",4020,697.7,676.1,719.8,14780
"32","116d","2011-2015","Total","0","Orange",4088,68570,16.77,78.92,"lev0",148600,9232,9163,9301,550.3,533.5,567.2,"Irvine South/Newport Beach/Newport Coast/San Joaquin Hills",4089,482.2,467.4,497.5,8375
"33","116e","2011-2015","Total","0","Orange",4183,77100,18.43,76.79,"lev0",116000,13290,13200,13380,721.1,699.2,742.9,"Cypress/Los Alamitos/Rossmoor",4186,613.8,595.3,632.9,11550
"34","116f","2011-2015","Total","0","Orange",3636,67520,18.57,76.82,"lev0",106900,12630,12540,12730,680.4,658.2,702.5,"Fullerton Central and South",3636,615.4,595.2,636.2,12260
"35","116g","2011-2015","Total","0","Orange",2090,56910,27.23,66.95,"lev0",120500,9442,9365,9520,346.8,331.9,361.7,"Santa Ana South",2090,591.8,565.4,619.3,13030
"36","116h","2011-2015","Total","0","Orange",4387,81520,18.58,76.94,"lev0",134100,12160,12070,12240,654.3,634.9,673.6,"City of Orange South/Santa Ana North/Tustin Foothills/Tustin West",4387,641.2,621.9,661.1,12520
"37","116i","2011-2015","Total","0","Orange",2896,68530,23.67,70.77,"lev0",117300,11690,11600,11780,494,476,512,"Garden Grove South/Santa Ana West",2896,607.7,585.5,630.7,13050
"38","116j","2011-2015","Total","0","Orange",3201,57560,17.98,77.35,"lev0",78860,14600,14480,14720,811.8,783.7,839.9,"Fountain Valley/Huntington Beach Central",3201,579.6,559.4,600.6,11490
"39","116k","2011-2015","Total","0","Orange",3490,66840,19.15,76.06,"lev0",111200,12020,11930,12110,627.7,606.9,648.6,"Brea West/Fullerton North/La Habra",3514,582.6,563.4,602.4,11490
"40","116l","2011-2015","Total","0","Orange",2353,56300,23.93,70.7,"lev0",97950,11500,11400,11590,480.4,461,499.9,"Anaheim Central",2353,665.9,638.8,694,14250
"41","116m","2011-2015","Total","0","Orange",3951,76520,19.37,75.78,"lev0",139000,11010,10930,11090,568.5,550.7,586.2,"Brea East/Placentia Central and North/Yorba Linda",3951,572.3,554.3,590.7,10680
