year,agell,ageul,sex,geoName,nx,raceCode
2009,70,74,Female,Clayton,158,Total
2009,70,74,Female,Concord,1659,Total
2009,70,74,Female,Danville,583,Total
2009,70,74,Female,El Cerrito,488,Total
2009,70,74,Female,Hercules,309,Total
2009,70,74,Female,Lafayette,445,Total
2009,70,74,Female,Martinez,487,Total
2009,70,74,Female,Moraga,234,Total
2009,70,74,Female,Oakley,259,Total
2009,70,74,Female,Orinda,398,Total
2009,70,74,Female,Pinole,191,Total
2009,70,74,Female,Pittsburg,662,Total
2009,70,74,Female,Pleasant Hill,433,Total
2009,70,74,Female,Richmond,1519,Total
2009,70,74,Female,San Pablo,318,Total
2009,70,74,Female,San Ramon,335,Total
2009,70,74,Female,Walnut Creek,2022,Total
2009,75,79,Female,Antioch,813,Total
2009,75,79,Female,Brentwood,573,Total
2009,75,79,Female,Clayton,93,Total
2009,75,79,Female,Concord,1619,Total
2009,75,79,Female,Danville,429,Total
2009,75,79,Female,El Cerrito,459,Total
2009,75,79,Female,Hercules,215,Total
2009,75,79,Female,Lafayette,357,Total
2009,75,79,Female,Martinez,435,Total
2009,75,79,Female,Moraga,353,Total
2009,75,79,Female,Oakley,289,Total
2009,75,79,Female,Orinda,433,Total
2009,75,79,Female,Pinole,314,Total
2009,75,79,Female,Pittsburg,556,Total
2009,75,79,Female,Pleasant Hill,512,Total
2009,75,79,Female,Richmond,1190,Total
2009,75,79,Female,San Pablo,509,Total
2009,75,79,Female,San Ramon,258,Total
2009,75,79,Female,Walnut Creek,1708,Total
2009,80,84,Female,Antioch,709,Total
2009,80,84,Female,Brentwood,350,Total
2009,80,84,Female,Clayton,201,Total
2009,80,84,Female,Concord,1443,Total
2009,80,84,Female,Danville,338,Total
2009,80,84,Female,El Cerrito,587,Total
2009,80,84,Female,Hercules,344,Total
2009,80,84,Female,Lafayette,272,Total
2009,80,84,Female,Martinez,234,Total
2009,80,84,Female,Moraga,174,Total
