county,comName,Ndeaths 2008-2012,Ndeaths 2013-2017,Rate 2008-2012,Rate 2013-2017,Percent Change,pValue,Community 13-17 Compared to State 15-17
Los Angeles,North Long Beach,44,50,8.974,10.2,13.661689324715836,0.27292181092608314,Higher
Los Angeles,Northridge South/Reseda North,19,28,3.156,5.051,60.044359949302915,0.05752529533473372,No Diff
Los Angeles,Norwalk/Studebaker,36,33,6.218,6.15,-1.0935992280475975,0.48193784426723907,No Diff
Los Angeles,Pacoima East/Sun Valley West,55,34,9.754,6.063,-37.84088579044494,0.014761562592484068,No Diff
Los Angeles,Palmdale Central,27,36,5.265,7.103,34.909781576448246,0.13033604290575562,No Diff
Los Angeles,Paramount North/Willowbrook,113,102,15.96,13.44,-15.789473684210535,0.11041811451551575,Higher
Los Angeles,Pasadena South/San Marino/South Pasadena,12,9,2.448,2.065,-15.645424836601306,0.352079331414052,Lower
Los Angeles,Pico-Union,52,54,5.9,6.272,6.305084745762709,0.3794668426681954,No Diff
Los Angeles,Pico Rivera/Santa Fe Springs Northwest,30,24,5.963,4.632,-22.320979372798934,0.17942950769008803,No Diff
Los Angeles,Pomona East and South,64,59,10.04,9.424,-6.1354581673306745,0.3659911129355422,Higher
Los Angeles,Redondo Beach Central and South/Torrance West Central,10,5,2.01,1.087,-45.92039800995025,0.1304293901899919,Lower
Los Angeles,Reseda South/Van Nuys Southwest,12,6,2.642,1.203,-54.46631339894019,0.059427826289748964,Lower
Los Angeles,Rosemead/San Gabriel South/South El Monte West/Temple City West,16,23,3.259,5.174,58.76035593740413,0.08264938256641052,No Diff
Los Angeles,Santa Monica Central/Sawtelle/West Los Angeles,16,5,3.788,1.137,-69.98416050686377,0.008899583573906189,Lower
Los Angeles,Sherman Oaks/Studio City/Valley Village,13,8,1.72,1.104,-35.813953488372086,0.1644354207281954,Lower
Los Angeles,South Central Northeast,121,107,17.83,15.5,-13.067863151991018,0.14984637201305195,Higher
Los Angeles,South Central Northwest,81,84,19.61,21.57,9.994900560938301,0.27210952493746643,Higher
Los Angeles,South Central Southwest,126,132,28.55,28.7,0.5253940455341456,0.4835576373097856,Higher
Los Angeles,Valinda/West Covina,38,23,6.073,3.407,-43.89922608266096,0.014861870320295623,Lower
Los Angeles,Van Nuys Central,26,21,4.628,3.626,-21.65082108902334,0.2058610340401419,Lower
Madera,Chowchilla,6,2,4.346,1.668,-61.61988034974689,0.10599228385196391,Lower
Madera,Madera,27,29,5.693,5.568,-2.1956789039170914,0.46758410357614955,No Diff
Madera,Oakhurst/Yosemite Lakes,4,8,2.973,6.285,111.40262361251263,0.12953350650136797,No Diff
Marin,Angel Island/Belvedere/Marin City/Sausalito/Strawberry Manor/Tiburon,5,8,1.829,3.869,111.53635866593767,0.1169700261189508,No Diff
Marin,Bel Marin Keys/Black Point/Ignacio/Novato/San Rafael East/Santa Venetia,16,10,3.297,1.827,-44.58598726114651,0.07767905439080813,Lower
Marin,Bolinas/Dillon Beach/Inverness/Point Reyes Station/Stinson Beach/Tomales,1,NA,2.077,NA,NA,NA,NA
Marin,Corte Madera/Fairfax/Kentfield/Larkspur/Marinwood/Mill Valley/Ross/San Anselmo/San Rafael West/Terra Linda,2,5,0.5302,1.158,118.40814786872878,0.18066856185971158,Lower
Mariposa,Bootjack/Catheys Valley/Coulterville/Don Pedro/El Portal/Fish Camp/Mariposa,2,3,2.667,4.283,60.59242594675668,0.3270360454473462,No Diff
Mendocino,Anchor Bay/Gualala/Manchester/Point Arena,NA,1,NA,6.266,NA,NA,No Diff
Mendocino,Boonville/Navarro/Philo/Yorkville,1,NA,7.769,NA,NA,NA,NA
Mendocino,Brooktrails/Pine Mountain/Willits,4,2,7.09,4.111,-42.016925246826524,0.2630907960769807,No Diff
Mendocino,Covelo/Dos Rios,1,2,8.48,25.32,198.58490566037736,0.19760665657293564,No Diff
Mendocino,Elk/Little River/Mendocino,2,3,6.88,5.501,-20.043604651162784,0.40994638793175686,No Diff
Mendocino,Fort Bragg/Westport,5,1,8.891,0.893,-89.95613541783827,0.026756061138829224,Lower
Mendocino,Hopland,1,NA,7.661,NA,NA,NA,NA
Mendocino,Laytonville/Leggett/Piercy,2,4,14.04,29.57,110.61253561253562,0.19595016604046744,No Diff
Mendocino,Redwood Valley,2,NA,7.821,NA,NA,NA,NA
Mendocino,Talmage,1,NA,6.935,NA,NA,NA,NA
Mendocino,Ukiah,3,5,2.156,3.695,71.38218923933208,0.23043492298393298,No Diff
Merced,Atwater/Snelling/Winton,27,22,10.41,8.585,-17.5312199807877,0.2538942327743574,Higher
Merced,Ballico/Cressey/Delhi/Hilmar/Livingston,10,16,5.024,7.744,54.140127388535035,0.14194445560699331,No Diff
Merced,Dos Palos/Gustine/Los Banos,22,24,7.543,8.009,6.177913297096649,0.4204040966035937,Higher
Merced,El Nido/Merced Southwest,18,21,11.26,16.59,47.33570159857904,0.1256655797697055,Higher
Merced,Le Grand/Planada,3,6,8.228,14.98,82.06125425376763,0.19819435266139518,No Diff
Merced,Merced Central and North/Merced Southeast,23,31,6.903,7.02,1.694915254237288,0.4761548018527817,No Diff
Modoc,Adin/Lookout/Newell,NA,1,NA,8.041,NA,NA,No Diff
Modoc,Alturas/Canby,3,4,7.004,13.08,86.75042832667049,0.22670451244646728,No Diff
Modoc,Surprise Valley,1,1,36.97,32.62,-11.766296997565597,0.4648473956547524,No Diff
