"","year","GEOID","sex","raceName","lAge","population","deaths","life_expectancy","LE_lci","LE_uci"
"206",2017,"6031","FEMALE","Total",50,18451.9622347313,84,34.2240062734453,33.6385243473447,34.8094881995459
"207",2017,"6031","FEMALE","White",0,1412.51336869,0,82.1639469731377,81.384538498852,82.9433554474233
"208",2017,"6031","FEMALE","White",50,6935.32655009,42,33.0245868109019,32.2942015320633,33.7549720897406
"209",2017,"6031","MALE","Latino",0,3987.25257372,0,81.2291660529163,80.1131032705197,82.3452288353129
"210",2017,"6031","MALE","Latino",50,11963.61298922,50,33.3348911357776,32.2106519243636,34.4591303471917
"211",2017,"6031","MALE","Total",0,6094.2192009945,30,79.6007162737466,79.0122150831738,80.1892174643193
"212",2017,"6031","MALE","Total",50,26288.318361898,116,32.1479289820935,31.5977876113673,32.6980703528196
"213",2017,"6031","MALE","White",0,1467.51765824,9,79.6489500393235,78.8941125194039,80.4037875592431
"214",2017,"6031","MALE","White",50,9401.65059266,51,31.1205193222976,30.460376418105,31.7806622264901
"215",2017,"6031","TOTAL","Latino",0,7820.07739943,31,82.6011650516247,81.7147481978738,83.4875819053755
"216",2017,"6031","TOTAL","Latino",50,21171.57923656,80,34.9926714896755,34.106096693936,35.879246285415
"217",2017,"6031","TOTAL","Total",0,11957.4692794117,52,80.7822238288031,80.3483110819306,81.2161365756756
"218",2017,"6031","TOTAL","Total",50,44740.2805966293,200,33.1935383751144,32.7901323931461,33.5969443570827
"219",2017,"6031","TOTAL","White",0,2880.03102693,15,80.1676594108153,79.5930836330183,80.7422351886122
"220",2017,"6031","TOTAL","White",50,16336.97714275,93,32.0967078891771,31.6026654621883,32.590750316166
"221",2017,"6033","FEMALE","Total",0,1698.9303442272,0,79.9963701821989,79.2836679752107,80.709072389187
"222",2017,"6033","FEMALE","Total",50,11702.9821757577,91,32.2172817191437,31.6193847458331,32.8151786924542
"223",2017,"6033","FEMALE","White",0,948.33594471,0,79.495190101255,78.7626714247185,80.2277087777914
"224",2017,"6033","FEMALE","White",50,9084.64720163,78,31.3926805658398,30.789390937081,31.9959701945986
"225",2017,"6033","MALE","Total",0,1823.7835050367,0,73.3357210305584,72.5992640645681,74.0721779965488
"226",2017,"6033","MALE","Total",50,11472.9813246913,141,27.5966662911569,27.0614815741278,28.131851008186
"227",2017,"6033","MALE","White",0,1021.67430671,0,73.213820534023,72.4108680394983,74.0167730285477
"228",2017,"6033","MALE","White",50,8814.27394378,112,26.8947778034457,26.3376086823529,27.4519469245386
"229",2017,"6033","TOTAL","Total",0,3522.7138492639,21,75.7473829658378,75.185509606048,76.3092563256275
"230",2017,"6033","TOTAL","Total",50,23175.963500449,232,29.8098113458003,29.4076543309719,30.2119683606288
"231",2017,"6033","TOTAL","White",0,1970.01025142,0,75.5581781365752,74.9631179946967,76.1532382784538
"232",2017,"6033","TOTAL","White",50,17898.92114541,190,29.0515066619521,28.6389466495148,29.4640666743894
"233",2017,"6035","TOTAL","Total",0,1521.9981069066,0,86.9923613251357,85.7406330389549,88.2440896113164
"234",2017,"6035","TOTAL","Total",50,11025.9093451041,39,38.1360158109877,36.8846758413391,39.3873557806364
"235",2017,"6035","TOTAL","White",0,1099.745883615,0,84.2227913004002,83.1362511360572,85.3093314647433
"236",2017,"6035","TOTAL","White",50,8013.26222851,37,35.6308051907073,34.5829320203741,36.6786783610405
"237",2017,"6037","FEMALE","Asian",0,41775.3512646,87,89.528262452095,89.3201302599228,89.7363946442672
"238",2017,"6037","FEMALE","Asian",50,277019.381119,446,40.6332525794011,40.4350610109475,40.8314441478547
"239",2017,"6037","FEMALE","Black",0,22443.5533315,158,79.7990204433869,79.5694305616859,80.0286103250879
"240",2017,"6037","FEMALE","Black",50,167469.4911358,942,32.6164501061458,32.426669201305,32.8062310109866
"241",2017,"6037","FEMALE","Latino",0,198517.579634,591,87.3575065186361,87.2061293946368,87.5088836426354
"242",2017,"6037","FEMALE","Latino",50,773593.0217,1616,38.7652744524325,38.6157602139401,38.9147886909248
"243",2017,"6037","FEMALE","Multi-Race",0,12115.5171327,26,104.51358739061,101.548817334787,107.478357446433
"244",2017,"6037","FEMALE","Multi-Race",50,24603.48497482,53,56.0315456568811,53.0127063637484,59.0503849500138
"245",2017,"6037","FEMALE","Total",0,333734.376609675,1027,85.0762221258851,85.0082806866229,85.1441635651473
"246",2017,"6037","FEMALE","Total",50,1726687.94819265,4457,36.576936668019,36.514475420109,36.6393979159289
"247",2017,"6037","FEMALE","White",0,57744.070502,144,83.5584736656454,83.4534220024704,83.6635253288205
"248",2017,"6037","FEMALE","White",50,475847.152029,1322,35.0295540322446,34.9452154909247,35.1138925735644
"249",2017,"6037","MALE","Asian",0,43437.269558,114,84.5035940294008,84.3037964847352,84.7033915740664
"250",2017,"6037","MALE","Asian",50,226316.9594237,662,36.2476285968274,36.0636827354254,36.4315744582294
"251",2017,"6037","MALE","Black",0,23267.4907037,220,72.7074561120625,72.4637046663293,72.9512075577956
"252",2017,"6037","MALE","Black",50,142172.7542792,1257,27.7264631766044,27.5394300860923,27.9134962671165
"253",2017,"6037","MALE","Latino",0,206502.570842,752,82.0770990996667,81.9260851276023,82.228113071731
"254",2017,"6037","MALE","Latino",50,774485.81811,3192,34.7658928260887,34.6160560507982,34.9157296013791
"255",2017,"6037","MALE","Multi-Race",0,12608.0663028,40,109.040168187102,103.952594217696,114.127742156508
"256",2017,"6037","MALE","Multi-Race",50,22143.21431966,57,62.1234158496853,56.8416740416372,67.4051576577334
"257",2017,"6037","MALE","Total",0,347033.446529725,1315,79.9118589909547,79.8433497680928,79.9803682138166
"258",2017,"6037","MALE","Total",50,1684716.45334975,7778,32.5945240772025,32.533944784152,32.655103370253
"259",2017,"6037","MALE","White",0,60039.69893,173,78.9461632281427,78.8367543868131,79.0555720694723
"260",2017,"6037","MALE","White",50,511665.424413,2494,31.4251212455174,31.3437126738639,31.5065298171709
"261",2017,"6037","TOTAL","Asian",0,85212.6208226,201,87.1663897762786,87.0200261084012,87.312753444156
"262",2017,"6037","TOTAL","Asian",50,503336.3405427,1108,38.6320546557548,38.4951476565518,38.7689616549578
"263",2017,"6037","TOTAL","Black",0,45711.0440352,378,76.3441919224331,76.173767707428,76.5146161374382
"264",2017,"6037","TOTAL","Black",50,309642.245415,2199,30.3387249577407,30.2034011860337,30.4740487294477
"265",2017,"6037","TOTAL","Latino",0,405020.150476,1343,84.8215035846142,84.7134463992114,84.9295607700171
"266",2017,"6037","TOTAL","Latino",50,1548078.83981,4808,36.9223821483671,36.8155057495983,37.029258547136
"267",2017,"6037","TOTAL","Multi-Race",0,24723.5834355,66,105.760758184796,103.170541106976,108.350975262615
"268",2017,"6037","TOTAL","Multi-Race",50,46746.69929448,110,58.0157326853818,55.3536554291134,60.6778099416503
"269",2017,"6037","TOTAL","Native Hawaiian and other Pacific Islander",0,1524.74408022,12,75.3672514051934,74.3562163503809,76.3782864600059
"270",2017,"6037","TOTAL","Native Hawaiian and other Pacific Islander",50,8135.24873402,86,28.6528071484932,27.7434507374791,29.5621635595074
"271",2017,"6037","TOTAL","Total",0,680767.8231394,2342,82.5478101496435,82.4989028397251,82.5967174595618
"272",2017,"6037","TOTAL","Total",50,3411404.4015424,12235,34.6819640390662,34.637899312522,34.7260287656103
"273",2017,"6037","TOTAL","White",0,117783.769432,317,81.2133043151743,81.1363690869611,81.2902395433875
"274",2017,"6037","TOTAL","White",50,987512.576442,3816,33.2309779697836,33.1715555591261,33.2904003804412
"275",2017,"6039","FEMALE","Total",0,5771.9875237496,0,84.648024364723,84.08296385265,85.213084876796
"276",2017,"6039","FEMALE","Total",50,25336.947494191,77,36.0871338746107,35.5499071234488,36.6243606257726
"277",2017,"6039","FEMALE","White",0,1176.48736235,0,83.9836549975735,83.3520128151082,84.6152971800389
"278",2017,"6039","FEMALE","White",50,11100.64012192,40,34.6492556656419,34.0537542732224,35.2447570580614
"279",2017,"6039","MALE","Latino",0,4465.85796435,22,80.3789530525043,79.2309399175284,81.5269661874802
"280",2017,"6039","MALE","Latino",50,11024.83211802,60,33.6689138605826,32.5243222220093,34.813505499156
"281",2017,"6039","MALE","Total",0,6003.7690605416,34,77.762667205838,77.1912832321511,78.3340511795249
"282",2017,"6039","MALE","Total",50,21596.5001029407,131,31.278507151256,30.7841169337856,31.7728973687264
"283",2017,"6039","MALE","White",0,1225.99746288,0,76.4609805864922,75.6577695516957,77.2641916212887
"284",2017,"6039","MALE","White",50,9057.93226059,63,29.9289248919537,29.3454355893738,30.5124141945337
"285",2017,"6039","TOTAL","Latino",0,8759.36404973,41,83.3631555367393,82.4542106116839,84.2721004617946
"286",2017,"6039","TOTAL","Latino",50,22616.48845191,84,36.1233014304924,35.2123551621187,37.0342476988661
