ind_id,ind_definition,reportyear,race_eth_code,race_eth_name,geotype,GEOID,geotypevalue06,geoname,county,county_fips,region_name,region_code,Poverty,TotalPop,NumPov,percent,LL_95CI_percent,UL_95CI_percent,percent_SE,percent_RSE,place_decile,CA_RR,ConcentratedCT,version_pov
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001408300,06001408300,4083.00,Alameda,06001,,,Overall,5070,1100.19,21.7,9.6659574,33.7340426,6.1398176,28.2940905,,1.5839416,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001408400,06001408400,4084.00,Alameda,06001,,,Overall,3387,589.338,17.4,8.9404255,25.8595745,4.3161094,24.8052266,,1.270073,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001408500,06001408500,4085.00,Alameda,06001,,,Overall,5113,1595.256,31.2,17.8553191,44.5446809,6.8085106,21.8221495,,2.2773723,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001408600,06001408600,4086.00,Alameda,06001,,,Overall,5646,1501.836,26.6,17.5446809,35.6553191,4.6200608,17.3686496,,1.9416058,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001408700,06001408700,4087.00,Alameda,06001,,,Overall,6891,1474.674,21.4,13.0595745,29.7404255,4.2553191,19.8846689,,1.5620438,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001408800,06001408800,4088.00,Alameda,06001,,,Overall,5369,1948.947,36.3,25.4574468,47.1425532,5.5319149,15.239435,,2.649635,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001408900,06001408900,4089.00,Alameda,06001,,,Overall,3283,1208.144,36.8,22.9787234,50.6212766,7.0516717,19.1621514,,2.6861314,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001409000,06001409000,4090.00,Alameda,06001,,,Overall,3971,992.75,25,12.1319149,37.8680851,6.5653495,26.2613982,,1.8248175,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001409100,06001409100,4091.00,Alameda,06001,,,Overall,2317,366.086,15.8,4.7191489,26.8808511,5.6534954,35.7816167,,1.1532847,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001409200,06001409200,4092.00,Alameda,06001,,,Overall,2548,338.884,13.3,4.4829787,22.1170213,4.4984802,33.8231597,,0.9708029,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001409300,06001409300,4093.00,Alameda,06001,,,Overall,5408,1346.592,24.9,13.8191489,35.9808511,5.6534954,22.704801,,1.8175182,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001409400,06001409400,4094.00,Alameda,06001,,,Overall,4476,980.244,21.9,10.5808511,33.2191489,5.775076,26.37021,,1.5985401,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001409500,06001409500,4095.00,Alameda,06001,,,Overall,3291,519.978,15.8,6.506383,25.093617,4.7416413,30.0103882,,1.1532847,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001409600,06001409600,4096.00,Alameda,06001,,,Overall,5347,1203.075,22.5,9.8702128,35.1297872,6.443769,28.6389733,,1.6423358,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001409700,06001409700,4097.00,Alameda,06001,,,Overall,4647,1259.337,27.1,17.9255319,36.2744681,4.6808511,17.2725132,,1.9781022,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001409800,06001409800,4098.00,Alameda,06001,,,Overall,3524,842.236,23.9,16.1553191,31.6446809,3.9513678,16.5329196,,1.7445255,no,1/22/2014 12:04
