year,county,Ndeaths,GEOID
2005,Contra Costa,12,6013391000
2005,Contra Costa,20,6013392000
2005,Contra Costa,50,6013392200
2005,Contra Costa,7,6013392300
2005,Del Norte,42,6015000101
2005,Del Norte,46,6015000102
2005,Del Norte,27,6015000104
2005,Del Norte,62,6015000105
2005,Del Norte,29,6015000201
2005,Del Norte,26,6015000202
2005,Del Norte,16,6015000203
2005,El Dorado,24,6017030200
2005,El Dorado,9,6017030301
2005,El Dorado,16,6017030302
2005,NA,1,6017030302
2005,El Dorado,17,6017030401
2005,El Dorado,41,6017030402
2005,El Dorado,11,6017030502
2005,El Dorado,13,6017030504
2005,El Dorado,9,6017030505
2005,El Dorado,32,6017030601
2005,NA,1,6017030601
2005,El Dorado,39,6017030602
2005,Placer,1,6017030602
2005,El Dorado,28,6017030603
2005,El Dorado,16,6017030701
2005,El Dorado,22,6017030704
2005,El Dorado,23,6017030706
2005,El Dorado,17,6017030709
2005,El Dorado,21,6017030710
2005,El Dorado,15,6017030801
2005,El Dorado,66,6017030803
2005,El Dorado,49,6017030804
2005,El Dorado,27,6017030807
2005,El Dorado,27,6017030808
2005,El Dorado,32,6017030809
2005,El Dorado,20,6017030810
2005,El Dorado,17,6017030901
2005,El Dorado,27,6017030902
2005,El Dorado,56,6017031000
2005,El Dorado,69,6017031100
2005,El Dorado,58,6017031200
2005,El Dorado,39,6017031301
2005,NA,1,6017031301
2005,El Dorado,41,6017031302
2005,El Dorado,36,6017031402
2005,El Dorado,20,6017031404
2005,El Dorado,11,6017031405
2005,El Dorado,34,6017031406
2005,El Dorado,79,6017031502
2005,El Dorado,27,6017031503
2005,NA,1,6017031503
2005,El Dorado,65,6017031504
2005,El Dorado,13,6017031600
2005,El Dorado,5,6017031700
2005,El Dorado,12,6017031800
2005,El Dorado,1,6017032000
2005,Fresno,15,6019000100
2005,Fresno,24,6019000200
2005,Fresno,34,6019000300
2005,Fresno,29,6019000400
2005,Fresno,16,6019000501
2005,Fresno,32,6019000502
2005,Fresno,55,6019000600
2005,Fresno,45,6019000700
2005,Fresno,4,6019000800
2005,Fresno,10,6019000901
2005,Fresno,35,6019000902
2005,Fresno,32,6019001000
2005,Fresno,26,6019001100
2005,Fresno,32,6019001201
2005,Fresno,24,6019001202
2005,Fresno,30,6019001301
2005,Fresno,14,6019001303
2005,Fresno,21,6019001304
2005,Fresno,16,6019001407
2005,Fresno,57,6019001408
2005,Fresno,14,6019001409
2005,Fresno,28,6019001410
2005,Fresno,22,6019001411
2005,Fresno,18,6019001412
2005,Fresno,16,6019001413
2005,Fresno,43,6019001414
2005,Fresno,28,6019001500
2005,Fresno,34,6019001600
2005,Fresno,37,6019001700
2005,Fresno,24,6019001800
2005,Fresno,26,6019001900
2005,Fresno,50,6019002000
2005,Fresno,47,6019002100
2005,NA,1,6019002100
2005,Fresno,27,6019002200
2005,Fresno,16,6019002300
2005,Fresno,27,6019002400
2005,Fresno,20,6019002501
2005,Fresno,23,6019002502
2005,Fresno,24,6019002601
2005,Fresno,22,6019002602
2005,Fresno,24,6019002701
2005,Fresno,21,6019002702
