comID,yearG,sex,CAUSE,Ndeaths,YLL,mean.age,Level,county,pop,YLLper,cDeathRate,rateLCI,rateUCI,comName,oDeaths,aRate,aLCI,aUCI,aSE,YLL.adj.rate
161g,2013-2017,Total,0,3295,29160,71.67,lev0,San Diego,100300,5815,657.1,634.6,679.5,Encanto/Lemon Grove Northwest/Lincoln Acres/National City East/Paradise Hills Southwest,3295,674.5,651.4,698.2,11.87,5755
161g,2013-2017,Total,D01,96,585,73.02,lev2,San Diego,100300,116.7,19.14,15.31,22.97,Encanto/Lemon Grove Northwest/Lincoln Acres/National City East/Paradise Hills Southwest,96,19.79,15.99,24.28,2.042,113.5
161g,2013-2017,Total,D10,117,554,75.32,lev2,San Diego,100300,110.5,23.33,19.1,27.56,Encanto/Lemon Grove Northwest/Lincoln Acres/National City East/Paradise Hills Southwest,117,24.18,19.96,29.09,2.258,101.7
161g,2013-2017,Total,E02,39,1344,40.95,lev2,San Diego,100300,268,7.777,5.336,10.22,Encanto/Lemon Grove Northwest/Lincoln Acres/National City East/Paradise Hills Southwest,39,7.96,5.628,11.01,1.294,260.5
161g,2013-2017,Total,E03,33,1243,37.33,lev2,San Diego,100300,247.9,6.581,4.335,8.826,Encanto/Lemon Grove Northwest/Lincoln Acres/National City East/Paradise Hills Southwest,33,6.73,4.598,9.586,1.193,247.6
161h,2013-2017,Total,0,3353,29820,71.38,lev0,San Diego,89150,6690,752.2,726.8,777.7,El Cajon Central and South/Fletcher Hills,3353,821.8,793.7,850.7,14.46,6494
161h,2013-2017,Total,D01,79,612,70.82,lev2,San Diego,89150,137.3,17.72,13.82,21.63,El Cajon Central and South/Fletcher Hills,79,19.29,15.19,24.23,2.217,126.4
161h,2013-2017,Total,D10,72,470,73.49,lev2,San Diego,89150,105.4,16.15,12.42,19.88,El Cajon Central and South/Fletcher Hills,72,18.25,14.21,23.16,2.192,116.2
161h,2013-2017,Total,E02,54,1532,47.28,lev2,San Diego,89150,343.7,12.11,8.884,15.35,El Cajon Central and South/Fletcher Hills,54,12.1,9.02,15.99,1.685,336.6
161h,2013-2017,Total,E03,23,821,39.7,lev2,San Diego,89150,184.2,5.16,3.051,7.269,El Cajon Central and South/Fletcher Hills,23,5.339,3.332,8.221,1.147,185.1
161i,2013-2017,Total,0,3374,21960,75.69,lev0,San Diego,87690,5008,769.5,743.5,795.5,Calavo Gardens/Casa de Oro/Cottonwood/Grossmont/Homelands/Lemon Grove Central and North/Mount Helix/Rancho San Diego/Spring Valley,3374,633.5,611.8,655.9,11.18,4631
161i,2013-2017,Total,D01,73,341,76.93,lev2,San Diego,87690,77.77,16.65,12.83,20.47,Calavo Gardens/Casa de Oro/Cottonwood/Grossmont/Homelands/Lemon Grove Central and North/Mount Helix/Rancho San Diego/Spring Valley,73,13.44,10.48,17.1,1.604,61.94
161i,2013-2017,Total,D10,65,287,77.63,lev2,San Diego,87690,65.46,14.82,11.22,18.43,Calavo Gardens/Casa de Oro/Cottonwood/Grossmont/Homelands/Lemon Grove Central and North/Mount Helix/Rancho San Diego/Spring Valley,65,11.86,9.101,15.33,1.504,53.26
161i,2013-2017,Total,E02,56,1379,51.11,lev2,San Diego,87690,314.5,12.77,9.427,16.12,Calavo Gardens/Casa de Oro/Cottonwood/Grossmont/Homelands/Lemon Grove Central and North/Mount Helix/Rancho San Diego/Spring Valley,56,12,9.002,15.76,1.639,319.5
161j,2013-2017,Total,0,4595,36360,73.27,lev0,San Diego,163000,4461,563.8,547.5,580.1,Castle Park/Chula Vista Southwest/Imperial Beach West/Nestor East/Palm City/San Ysidro/South San Diego,4595,568.8,552.2,585.7,8.503,4483
161j,2013-2017,Total,D01,117,642,74.28,lev2,San Diego,163000,78.77,14.36,11.75,16.96,Castle Park/Chula Vista Southwest/Imperial Beach West/Nestor East/Palm City/San Ysidro/South San Diego,117,14.79,12.2,17.81,1.385,78.08
161j,2013-2017,Total,D10,122,735,73.38,lev2,San Diego,163000,90.19,14.97,12.31,17.63,Castle Park/Chula Vista Southwest/Imperial Beach West/Nestor East/Palm City/San Ysidro/South San Diego,122,15.22,12.61,18.27,1.397,91.5
161j,2013-2017,Total,E02,64,1858,46.78,lev2,San Diego,163000,228,7.853,5.929,9.777,Castle Park/Chula Vista Southwest/Imperial Beach West/Nestor East/Palm City/San Ysidro/South San Diego,64,7.962,6.096,10.27,1.016,226.2
161j,2013-2017,Total,E03,24,1034,31.92,lev2,San Diego,163000,126.9,2.945,1.767,4.123,Castle Park/Chula Vista Southwest/Imperial Beach West/Nestor East/Palm City/San Ysidro/South San Diego,24,2.868,1.816,4.371,0.5991,120.4
161k,2013-2017,Total,0,2666,20890,73.19,lev0,San Diego,81440,5130,654.7,629.8,679.5,Chula Vista Central and Northwest/National City West,2666,708.7,681.7,736.5,13.92,5243
161k,2013-2017,Total,D01,90,538,74.51,lev2,San Diego,81440,132.1,22.1,17.54,26.67,Chula Vista Central and Northwest/National City West,90,24.01,19.25,29.67,2.565,134
161k,2013-2017,Total,D10,67,544,71.12,lev2,San Diego,81440,133.6,16.45,12.51,20.39,Chula Vista Central and Northwest/National City West,67,17.83,13.77,22.78,2.204,139.9
161k,2013-2017,Total,E02,30,652,53.97,lev2,San Diego,81440,160.1,7.367,4.731,10,Chula Vista Central and Northwest/National City West,30,7.641,5.116,11.07,1.42,148.2
161l,2013-2017,Total,0,2670,21840,72.47,lev0,San Diego,84250,5184,633.8,609.8,657.8,Lemon Grove South/Paradise Hills,2670,630.2,606.1,655,12.38,4857
161l,2013-2017,Total,D01,61,513,69.49,lev2,San Diego,84250,121.8,14.48,10.85,18.11,Lemon Grove South/Paradise Hills,61,14.19,10.79,18.41,1.851,112
161l,2013-2017,Total,D10,72,443,72.56,lev2,San Diego,84250,105.2,17.09,13.14,21.04,Lemon Grove South/Paradise Hills,72,16.87,13.15,21.42,2.018,96.37
161l,2013-2017,Total,E02,31,965,44.32,lev2,San Diego,84250,229.1,7.359,4.768,9.949,Lemon Grove South/Paradise Hills,31,7.09,4.768,10.26,1.304,225.1
161l,2013-2017,Total,E03,17,717,32.82,lev2,San Diego,84250,170.2,4.035,2.117,5.954,Lemon Grove South/Paradise Hills,17,4.133,2.377,6.78,1.023,172
161m,2013-2017,Total,0,3588,22800,75.36,lev0,San Diego,89020,5123,806.1,779.7,832.5,Carlton Hills/El Cajon North/Eucalyptus Hills/Lake Murray/Loma Portal/San Carlos/Santee,3588,612.2,592.1,633,10.39,4667
161m,2013-2017,Total,D01,77,437,75.03,lev2,San Diego,89020,98.18,17.3,13.43,21.16,Carlton Hills/El Cajon North/Eucalyptus Hills/Lake Murray/Loma Portal/San Carlos/Santee,77,12.75,10.03,16.11,1.466,75.03
161m,2013-2017,Total,D10,49,191,77.02,lev2,San Diego,89020,42.91,11.01,7.926,14.09,Carlton Hills/El Cajon North/Eucalyptus Hills/Lake Murray/Loma Portal/San Carlos/Santee,49,8.217,6.064,11.04,1.183,29.73
161m,2013-2017,Total,E02,73,1659,53.88,lev2,San Diego,89020,372.7,16.4,12.64,20.16,Carlton Hills/El Cajon North/Eucalyptus Hills/Lake Murray/Loma Portal/San Carlos/Santee,73,15.34,11.94,19.48,1.844,399.8
161m,2013-2017,Total,E03,17,580,40.88,lev2,San Diego,89020,130.3,3.819,2.004,5.635,Carlton Hills/El Cajon North/Eucalyptus Hills/Lake Murray/Loma Portal/San Carlos/Santee,17,3.987,2.296,6.496,0.9856,144.2
161n,2013-2017,Total,0,1950,13200,75.74,lev0,San Diego,64360,4102,606,579.1,632.9,Civic Center/Coronado/Harbor Island/Imperial Beach East/Nestor West/Ocean Beach/Point Loma/Silver Strand,1950,588.4,561.8,616.3,13.75,4076
161n,2013-2017,Total,D01,28,162,76.68,lev2,San Diego,64360,50.34,8.701,5.478,11.92,Civic Center/Coronado/Harbor Island/Imperial Beach East/Nestor West/Ocean Beach/Point Loma/Silver Strand,28,8.565,5.609,12.97,1.671,47.21
161n,2013-2017,Total,D10,32,142,77.62,lev2,San Diego,64360,44.13,9.944,6.499,13.39,Civic Center/Coronado/Harbor Island/Imperial Beach East/Nestor West/Ocean Beach/Point Loma/Silver Strand,32,10.04,6.786,14.74,1.827,43.6
161n,2013-2017,Total,E02,61,1380,53.36,lev2,San Diego,64360,428.8,18.96,14.2,23.71,Civic Center/Coronado/Harbor Island/Imperial Beach East/Nestor West/Ocean Beach/Point Loma/Silver Strand,61,18.85,14.29,24.79,2.489,403.4
161o,2013-2017,Total,0,2599,15350,76.89,lev0,San Diego,88790,3458,585.4,562.9,607.9,Allied Gardens/Del Cerro/Grantville/Miramar/Tierrasanta,2599,536.6,515.9,558.1,10.68,3290
161o,2013-2017,Total,D01,41,175,77.12,lev2,San Diego,88790,39.42,9.235,6.409,12.06,Allied Gardens/Del Cerro/Grantville/Miramar/Tierrasanta,41,8.733,6.233,12.01,1.384,37.64
161o,2013-2017,Total,D10,28,89,79.07,lev2,San Diego,88790,20.05,6.307,3.971,8.643,Allied Gardens/Del Cerro/Grantville/Miramar/Tierrasanta,28,5.694,3.759,8.399,1.092,15.98
161o,2013-2017,Total,E02,63,1608,50.24,lev2,San Diego,88790,362.2,14.19,10.69,17.7,Allied Gardens/Del Cerro/Grantville/Miramar/Tierrasanta,63,13.96,10.68,18.02,1.788,358.3
161o,2013-2017,Total,E03,14,498,39.79,lev2,San Diego,88790,112.2,3.154,1.502,4.805,Allied Gardens/Del Cerro/Grantville/Miramar/Tierrasanta,14,3.051,1.649,5.277,0.8288,105.1
161p,2013-2017,Total,0,2982,18580,76.4,lev0,San Diego,158100,2350,377.3,363.7,390.8,Carmel Valley/Del Dios/Escondido South/Fairbanks Ranch/Poway Southeast/Rancho Bernardo Southeast/Rancho Penasquitos,2982,500.2,481.8,519.2,9.471,2216
