GEOID,COUNTYFP,ALAND,AWATER,GEOID_0,county
6013346204,13,13020053,0,06013346204,Contra Costa
6013348000,13,9784968,0,06013348000,Contra Costa
6013350000,13,8579177,431202,06013350000,Contra Costa
6013355116,13,14825894,0,06013355116,Contra Costa
6013355301,13,9364548,0,06013355301,Contra Costa
6013355304,13,9814150,0,06013355304,Contra Costa
6013355306,13,67115714,0,06013355306,Contra Costa
6013301000,13,94077390,27956753,06013301000,Contra Costa
6013356002,13,106130965,5848860,06013356002,Contra Costa
6013359202,13,9515165,0,06013359202,Contra Costa
6013359203,13,3671958,0,06013359203,Contra Costa
6013360101,13,3929268,0,06013360101,Contra Costa
6013363000,13,4407103,0,06013363000,Contra Costa
6013365002,13,5851367,1286474,06013365002,Contra Costa
6013365003,13,2651805,25820,06013365003,Contra Costa
6013367200,13,1322796,0,06013367200,Contra Costa
6013369001,13,1627104,0,06013369001,Contra Costa
6013370000,13,1028532,0,06013370000,Contra Costa
6013376000,13,1218459,0,06013376000,Contra Costa
6013338203,13,1599616,0,06013338203,Contra Costa
6013338301,13,1964961,0,06013338301,Contra Costa
6013340002,13,6648096,0,06013340002,Contra Costa
6013343001,13,2582229,0,06013343001,Contra Costa
