OID_TRACT_20|GEOID_TRACT_20|NAMELSAD_TRACT_20|AREALAND_TRACT_20|AREAWATER_TRACT_20|MTFCC_TRACT_20|FUNCSTAT_TRACT_20|OID_TRACT_10|GEOID_TRACT_10|NAMELSAD_TRACT_10|AREALAND_TRACT_10|AREAWATER_TRACT_10|MTFCC_TRACT_10|FUNCSTAT_TRACT_10|AREALAND_PART|AREAWATER_PART
20790141324067|06001407700|Census Tract 4077|914283|0|G5020|S|20740141324067|06001407700|Census Tract 4077|917996|0|G5020|S|914269|0
20790141324067|06001407700|Census Tract 4077|914283|0|G5020|S|20740141324065|06001407800|Census Tract 4078|1234691|0|G5020|S|14|0
20790141324065|06001407800|Census Tract 4078|1221764|0|G5020|S|20740141324067|06001407700|Census Tract 4077|917996|0|G5020|S|3727|0
20790141324065|06001407800|Census Tract 4078|1221764|0|G5020|S|20740141324065|06001407800|Census Tract 4078|1234691|0|G5020|S|1218037|0
20790141324063|06001407900|Census Tract 4079|1099098|0|G5020|S|20740141324063|06001407900|Census Tract 4079|1099098|0|G5020|S|1099098|0
20790141324089|06001408000|Census Tract 4080|1955276|0|G5020|S|20740141324089|06001408000|Census Tract 4080|1921464|0|G5020|S|1919100|0
20790141324089|06001408000|Census Tract 4080|1955276|0|G5020|S|207403717159023|06001430102|Census Tract 4301.02|76807981|3519002|G5020|S|36176|0
20790141324071|06001408100|Census Tract 4081|8937288|0|G5020|S|20740141324071|06001408100|Census Tract 4081|8778434|0|G5020|S|8731248|0
20790141324071|06001408100|Census Tract 4081|8937288|0|G5020|S|207403717159023|06001430102|Census Tract 4301.02|76807981|3519002|G5020|S|206040|0
20790141324070|06001408200|Census Tract 4082|901765|0|G5020|S|20740141324070|06001408200|Census Tract 4082|901765|0|G5020|S|901765|0
20790141324104|06001408300|Census Tract 4083|1538310|0|G5020|S|20740141324065|06001407800|Census Tract 4078|1234691|0|G5020|S|16640|0
20790141324104|06001408300|Census Tract 4083|1538310|0|G5020|S|20740141324104|06001408300|Census Tract 4083|1521670|0|G5020|S|1521670|0
20790141324076|06001408400|Census Tract 4084|542660|0|G5020|S|20740141324076|06001408400|Census Tract 4084|542660|0|G5020|S|542660|0
20790141324074|06001408500|Census Tract 4085|831360|0|G5020|S|20740141324074|06001408500|Census Tract 4085|831360|0|G5020|S|831360|0
20790141323849|06001408600|Census Tract 4086|1059360|0|G5020|S|20740141323849|06001408600|Census Tract 4086|1061443|0|G5020|S|1059360|0
20790141324069|06001408700|Census Tract 4087|1133375|0|G5020|S|20740141323849|06001408600|Census Tract 4086|1061443|0|G5020|S|2083|0
20790141324069|06001408700|Census Tract 4087|1133375|0|G5020|S|20740141324069|06001408700|Census Tract 4087|1131292|0|G5020|S|1131292|0
20790141324005|06001408800|Census Tract 4088|1179465|0|G5020|S|20740141324005|06001408800|Census Tract 4088|1204352|0|G5020|S|1179465|0
20790141324041|06001408900|Census Tract 4089|827293|0|G5020|S|20740141324005|06001408800|Census Tract 4088|1204352|0|G5020|S|24887|0
